Ref,Val,Package,PosX,PosY,Rot,Side
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",9.000000,-2.200000,180.000000,top
"J2","Conn_01x06_MountingPin","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",9.000000,-13.500000,0.000000,top
"R1","5.1k","R_0603_1608Metric",14.500000,-9.600000,270.000000,top
"R2","5.1k","R_0603_1608Metric",15.900000,-9.600000,90.000000,top
"U1","USBLC6-2P6","SOT-666",2.600000,-9.600000,270.000000,top
